ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_coating-material[kg];i_coating-material-waste[kg]
e_coat_167;2023-04-03 08:14:33;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_166;2023-04-03 08:14:35;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_164;2023-04-03 08:14:43;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_169;2023-04-03 08:14:48;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_162;2023-04-03 08:14:48;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_172;2023-04-03 08:15:03;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_171;2023-04-03 08:15:09;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_173;2023-04-03 08:15:18;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_175;2023-04-03 08:15:18;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_168;2023-04-03 08:15:47;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_178;2023-04-03 08:15:51;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_179;2023-04-03 08:15:51;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_174;2023-04-03 08:15:53;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_170;2023-04-03 08:15:55;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_180;2023-04-03 08:16:05;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_183;2023-04-03 08:16:06;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_176;2023-04-03 08:16:16;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_181;2023-04-03 08:16:17;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_177;2023-04-03 08:16:27;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_184;2023-04-03 08:16:30;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_185;2023-04-03 08:16:32;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_186;2023-04-03 08:16:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_190;2023-04-03 08:17:00;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_187;2023-04-03 08:17:08;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_192;2023-04-03 08:17:16;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_191;2023-04-03 08:17:21;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_182;2023-04-03 08:17:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_189;2023-04-03 08:17:33;300.0;0.1751156951;0.25;0.0004;0.0001
