ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkMale_495>true;2023-04-03 11:43:38;?;0.00038988;0.006
e_checkMale_654>true;2023-04-03 11:44:30;?;0.00103968;0.016
e_checkMale_493>true;2023-04-03 11:44:40;?;0.00090972;0.014
e_checkMale_585>true;2023-04-03 11:44:51;?;0.00123462;0.019
e_checkMale_765>true;2023-04-03 11:45:01;?;0.00136458;0.021
e_checkMale_224>true;2023-04-03 11:45:11;?;0.00071478;0.011
e_checkMale_477>true;2023-04-03 12:06:18;?;0.00084474;0.013
e_checkMale_903>true;2023-04-03 13:43:21;?;0.00168948;0.026
e_checkMale_964>true;2023-04-03 13:43:42;?;0.00025992;0.004
e_checkMale_1124>true;2023-04-03 13:44:13;?;0.00188442;0.029
e_checkMale_418>true;2023-04-03 13:44:23;?;0.00201438;0.031
e_checkMale_1072>true;2023-04-03 13:44:34;?;0.00058482;0.009
e_checkMale_645>true;2023-04-03 13:44:54;?;0.0006498;0.01
e_checkMale_853>true;2023-04-03 13:45:15;?;0.0006498;0.01
e_checkMale_942>true;2023-04-03 13:45:25;?;0.00084474;0.013
e_checkMale_973>true;2023-04-03 13:46:07;?;0.0006498;0.01
e_checkMale_945>true;2023-04-03 13:46:18;?;0.00116964;0.018
e_checkMale_968>true;2023-04-03 13:46:58;?;0.0003249;0.005
e_checkMale_1095>true;2023-04-03 13:47:09;?;0.00084474;0.013
e_checkMale_732>true;2023-04-03 13:47:19;?;0.00175446;0.027
e_checkMale_659>true;2023-04-03 13:47:50;?;0.00051984;0.008
e_checkMale_1076>true;2023-04-03 13:48:11;?;0.00116964;0.018
e_checkMale_696>true;2023-04-03 13:48:52;?;0.0006498;0.01
e_checkMale_1118>true;2023-04-03 13:49:25;?;0.00051984;0.008
e_checkMale_960>true;2023-04-03 13:49:46;?;0.00149454;0.023
e_checkMale_987>true;2023-04-03 13:49:56;?;0.00071478;0.011
e_checkMale_912>true;2023-04-03 13:50:16;?;0.00084474;0.013
e_checkMale_885>true;2023-04-03 13:50:26;?;0.0003249;0.005
e_checkMale_1195>true;2023-04-03 13:50:37;?;0.00155952;0.024
e_checkMale_1015>true;2023-04-03 13:50:47;?;0.00071478;0.011
e_checkMale_1168>true;2023-04-03 13:51:08;?;0.0012996;0.02
e_checkMale_926>true;2023-04-03 13:51:49;?;0.00188442;0.029
e_checkMale_1354>true;2023-04-03 13:52:10;?;0.00116964;0.018
e_checkMale_446>true;2023-04-03 13:52:31;?;0.00142956;0.022
e_checkMale_1150>true;2023-04-03 13:52:51;?;0.00149454;0.023
e_checkMale_314>true;2023-04-03 13:53:02;?;0.00181944;0.028
e_checkMale_1101>true;2023-04-03 13:53:13;?;0.0;0.0
e_checkMale_1227>true;2023-04-03 13:53:24;?;0.00123462;0.019
e_checkMale_839>true;2023-04-03 13:53:45;?;0.00188442;0.029
e_checkMale_1027>true;2023-04-03 13:53:55;?;0.00168948;0.026
e_checkMale_850>true;2023-04-03 13:54:06;?;0.00071478;0.011
e_checkMale_808>true;2023-04-03 13:54:27;?;0.0016245;0.025
e_checkMale_791>true;2023-04-03 13:55:40;?;0.0022743;0.035
e_checkMale_527>true;2023-04-03 13:56:00;?;0.00168948;0.026
e_checkMale_1100>true;2023-04-03 13:56:31;?;0.0016245;0.025
e_checkMale_1192>true;2023-04-03 13:56:42;?;0.00116964;0.018
e_checkMale_781>true;2023-04-03 13:56:52;?;0.00214434;0.033
e_checkMale_976>true;2023-04-03 13:57:03;?;0.00220932;0.034
e_checkMale_874>true;2023-04-03 13:57:14;?;0.00123462;0.019
e_checkMale_1194>true;2023-04-03 13:57:56;?;0.00214434;0.033
e_checkMale_907>true;2023-04-03 13:58:07;?;0.00090972;0.014
e_checkMale_1216>true;2023-04-03 13:58:59;?;0.00149454;0.023
e_checkMale_1142>true;2023-04-03 13:59:10;?;0.00123462;0.019
e_checkMale_649>true;2023-04-03 13:59:31;?;0.00136458;0.021
e_checkMale_1181>true;2023-04-03 13:59:42;?;0.00149454;0.023
e_checkMale_1004>true;2023-04-03 13:59:52;?;0.00090972;0.014
e_checkMale_821>true;2023-04-03 14:00:03;?;0.00012996;0.002
e_checkMale_340>true;2023-04-03 14:00:13;?;0.00019494;0.003
e_checkMale_1088>true;2023-04-03 14:00:34;?;0.00123462;0.019
e_checkMale_719>true;2023-04-03 14:01:17;?;0.00116964;0.018
e_checkMale_739>true;2023-04-03 14:01:28;?;0.00090972;0.014
e_checkMale_894>true;2023-04-03 14:02:00;?;0.00110466;0.017
e_checkMale_709>true;2023-04-03 14:02:21;?;0.00019494;0.003
e_checkMale_1123>true;2023-04-03 14:02:32;?;0.00116964;0.018
e_checkMale_994>true;2023-04-03 14:02:42;?;0.00116964;0.018
e_checkMale_1262>true;2023-04-03 14:02:53;?;0.00136458;0.021
e_checkMale_922>true;2023-04-03 14:03:34;?;0.00077976;0.012
e_checkMale_407>true;2023-04-03 14:04:06;?;0.00116964;0.018
e_checkMale_1065>true;2023-04-03 14:04:16;?;0.00103968;0.016
e_checkMale_1198>true;2023-04-03 14:04:27;?;0.00103968;0.016
e_checkMale_1086>true;2023-04-03 14:04:38;?;0.00155952;0.024
e_checkMale_1022>true;2023-04-03 14:04:59;?;0.0016245;0.025
e_checkMale_698>true;2023-04-03 14:05:09;?;0.00188442;0.029
e_checkMale_811>true;2023-04-03 14:05:51;?;0.00090972;0.014
e_checkMale_795>true;2023-04-03 14:06:01;?;0.00110466;0.017
e_checkMale_953>true;2023-04-03 14:06:12;?;0.00142956;0.022
e_checkMale_734>true;2023-04-03 14:06:33;?;0.00207936;0.032
e_checkMale_1241>true;2023-04-03 14:07:04;?;0.00038988;0.006
e_checkMale_1328>true;2023-04-03 14:07:15;?;0.00142956;0.022
e_checkMale_917>true;2023-04-03 14:07:25;?;0.0009747;0.015
e_checkMale_607>true;2023-04-03 14:07:36;?;0.00084474;0.013
e_checkMale_868>true;2023-04-03 14:08:28;?;0.00188442;0.029
e_checkMale_924>true;2023-04-03 14:08:39;?;0.00051984;0.008
e_checkMale_1368>true;2023-04-03 14:08:49;?;0.0012996;0.02
e_checkMale_1097>true;2023-04-03 14:09:00;?;0.00051984;0.008
e_checkMale_863>true;2023-04-03 14:09:10;?;0.00168948;0.026
e_checkMale_990>true;2023-04-03 14:09:41;?;0.00045486;0.007
e_checkMale_665>true;2023-04-03 14:10:33;?;0.00155952;0.024
e_checkMale_1074>true;2023-04-03 14:10:53;?;0.0016245;0.025
