ocel_id;ocel_type
o_steelpin_353;SteelPin
o_steelpin_354;SteelPin
o_steelpin_355;SteelPin
o_steelpin_356;SteelPin
o_steelpin_357;SteelPin
o_steelpin_358;SteelPin
o_steelpin_359;SteelPin
o_steelpin_360;SteelPin
o_steelpin_361;SteelPin
o_steelpin_362;SteelPin
o_steelpin_363;SteelPin
o_steelpin_364;SteelPin
o_steelpin_365;SteelPin
o_steelpin_366;SteelPin
o_steelpin_367;SteelPin
o_steelpin_368;SteelPin
o_steelpin_369;SteelPin
o_steelpin_370;SteelPin
o_steelpin_371;SteelPin
o_steelpin_372;SteelPin
o_steelpin_373;SteelPin
o_steelpin_374;SteelPin
o_steelpin_375;SteelPin
o_steelpin_376;SteelPin
o_steelpin_377;SteelPin
o_steelpin_378;SteelPin
o_steelpin_379;SteelPin
o_steelpin_380;SteelPin
o_steelpin_381;SteelPin
o_steelpin_382;SteelPin
o_steelpin_383;SteelPin
o_steelpin_384;SteelPin
o_steelpin_385;SteelPin
o_steelpin_386;SteelPin
o_steelpin_387;SteelPin
o_steelpin_388;SteelPin
o_steelpin_389;SteelPin
o_steelpin_390;SteelPin
o_steelpin_391;SteelPin
o_steelpin_392;SteelPin
o_steelpin_393;SteelPin
o_steelpin_394;SteelPin
o_steelpin_395;SteelPin
o_steelpin_396;SteelPin
o_steelpin_397;SteelPin
o_steelpin_398;SteelPin
o_steelpin_399;SteelPin
o_steelpin_400;SteelPin
o_steelpin_401;SteelPin
o_steelpin_402;SteelPin
o_steelpin_403;SteelPin
o_steelpin_404;SteelPin
o_steelpin_405;SteelPin
o_steelpin_406;SteelPin
o_steelpin_407;SteelPin
o_steelpin_408;SteelPin
o_steelpin_409;SteelPin
o_steelpin_410;SteelPin
o_steelpin_411;SteelPin
o_steelpin_412;SteelPin
o_steelpin_413;SteelPin
o_steelpin_414;SteelPin
o_steelpin_415;SteelPin
o_steelpin_416;SteelPin
o_steelpin_417;SteelPin
o_steelpin_418;SteelPin
o_steelpin_419;SteelPin
o_steelpin_420;SteelPin
o_steelpin_421;SteelPin
o_steelpin_422;SteelPin
o_steelpin_423;SteelPin
o_steelpin_424;SteelPin
o_steelpin_425;SteelPin
o_steelpin_426;SteelPin
o_steelpin_427;SteelPin
o_steelpin_428;SteelPin
o_steelpin_429;SteelPin
o_steelpin_430;SteelPin
o_steelpin_431;SteelPin
o_steelpin_432;SteelPin
o_steelpin_433;SteelPin
o_steelpin_434;SteelPin
o_steelpin_435;SteelPin
o_steelpin_436;SteelPin
o_steelpin_437;SteelPin
o_steelpin_438;SteelPin
o_steelpin_439;SteelPin
o_steelpin_440;SteelPin
o_steelpin_441;SteelPin
o_steelpin_442;SteelPin
o_steelpin_443;SteelPin
o_steelpin_444;SteelPin
o_steelpin_445;SteelPin
o_steelpin_446;SteelPin
o_steelpin_447;SteelPin
o_steelpin_448;SteelPin
o_steelpin_449;SteelPin
