ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkFemale_623>true;2023-04-03 11:40:30;?;0.00116964;0.018
e_checkFemale_631>true;2023-04-03 11:40:40;?;0.00155952;0.024
e_checkFemale_750>true;2023-04-03 11:40:51;?;0.00103968;0.016
e_checkFemale_638>true;2023-04-03 11:41:12;?;0.00051984;0.008
e_checkFemale_723>true;2023-04-03 11:41:44;?;0.0012996;0.02
e_checkFemale_713>true;2023-04-03 11:41:55;?;0.00051984;0.008
e_checkFemale_777>true;2023-04-03 11:42:05;?;0.00123462;0.019
e_checkFemale_520>true;2023-04-03 11:42:16;?;0.00168948;0.026
e_checkFemale_479>true;2023-04-03 11:42:46;?;0.00207936;0.032
e_checkFemale_618>true;2023-04-03 11:42:57;?;0.00084474;0.013
e_checkFemale_759>true;2023-04-03 11:43:17;?;0.00038988;0.006
e_checkFemale_232>true;2023-04-03 11:43:28;?;0.00025992;0.004
e_checkFemale_724>true;2023-04-03 11:43:48;?;0.00110466;0.017
e_checkFemale_778>true;2023-04-03 11:43:59;?;0.00142956;0.022
e_checkFemale_753>true;2023-04-03 11:44:09;?;6.498E~05;0.001
e_checkFemale_565>true;2023-04-03 11:44:19;?;0.00181944;0.028
e_checkFemale_730>true;2023-04-03 12:05:58;?;0.00084474;0.013
e_checkFemale_736>true;2023-04-03 12:06:08;?;0.00077976;0.012
e_checkFemale_633>true;2023-04-03 13:21:16;?;0.0012996;0.02
e_checkFemale_860>true;2023-04-03 13:43:31;?;0.0019494;0.03
e_checkFemale_1120>true;2023-04-03 13:43:53;?;0.00051984;0.008
e_checkFemale_621>true;2023-04-03 13:44:03;?;0.00149454;0.023
e_checkFemale_1059>true;2023-04-03 13:44:44;?;0.00038988;0.006
e_checkFemale_1126>true;2023-04-03 13:45:05;?;0.00090972;0.014
e_checkFemale_622>true;2023-04-03 13:45:36;?;0.00071478;0.011
e_checkFemale_798>true;2023-04-03 13:45:46;?;0.00136458;0.021
e_checkFemale_941>true;2023-04-03 13:45:57;?;0.0012996;0.02
e_checkFemale_1070>true;2023-04-03 13:46:28;?;0.00103968;0.016
e_checkFemale_883>true;2023-04-03 13:46:38;?;0.00149454;0.023
e_checkFemale_929>true;2023-04-03 13:46:48;?;0.0012996;0.02
e_checkFemale_692>true;2023-04-03 13:47:29;?;0.00149454;0.023
e_checkFemale_1196>true;2023-04-03 13:47:40;?;0.00168948;0.026
e_checkFemale_881>true;2023-04-03 13:48:01;?;0.00110466;0.017
e_checkFemale_743>true;2023-04-03 13:48:22;?;0.00220932;0.034
e_checkFemale_454>true;2023-04-03 13:48:32;?;0.00071478;0.011
e_checkFemale_840>true;2023-04-03 13:48:42;?;0.0016245;0.025
e_checkFemale_848>true;2023-04-03 13:49:03;?;0.00233928;0.036
e_checkFemale_1117>true;2023-04-03 13:49:14;?;0.00058482;0.009
