ocel_source_id;ocel_target_id;ocel_qualifier
o_formedpart_36;o_steelsheet_36;created from
o_formedpart_32;o_steelsheet_32;created from
o_formedpart_26;o_steelsheet_26;created from
o_steelsheet_186;o_steelcoil_4;created from
o_steelsheet_187;o_steelcoil_4;created from
o_formedpart_38;o_steelsheet_38;created from
o_steelsheet_188;o_steelcoil_4;created from
o_formedpart_35;o_steelsheet_35;created from
o_steelsheet_189;o_steelcoil_4;created from
o_formedpart_41;o_steelsheet_41;created from
o_steelsheet_190;o_steelcoil_4;created from
o_formedpart_37;o_steelsheet_37;created from
o_steelsheet_191;o_steelcoil_4;created from
o_formedpart_39;o_steelsheet_39;created from
o_formedpart_42;o_steelsheet_42;created from
o_steelsheet_192;o_steelcoil_4;created from
o_steelsheet_193;o_steelcoil_4;created from
o_formedpart_45;o_steelsheet_45;created from
o_steelsheet_194;o_steelcoil_4;created from
o_formedpart_43;o_steelsheet_43;created from
o_steelsheet_195;o_steelcoil_4;created from
o_formedpart_40;o_steelsheet_40;created from
o_steelsheet_196;o_steelcoil_4;created from
o_formedpart_46;o_steelsheet_46;created from
o_formedpart_49;o_steelsheet_49;created from
o_steelsheet_197;o_steelcoil_4;created from
o_formedpart_48;o_steelsheet_48;created from
o_formedpart_44;o_steelsheet_44;created from
o_formedpart_54;o_steelsheet_54;created from
o_steelsheet_198;o_steelcoil_4;created from
o_formedpart_47;o_steelsheet_47;created from
o_formedpart_51;o_steelsheet_51;created from
o_formedpart_52;o_steelsheet_52;created from
o_formedpart_50;o_steelsheet_50;created from
o_steelsheet_199;o_steelcoil_4;created from
o_formedpart_53;o_steelsheet_53;created from
o_steelsheet_200;o_steelcoil_4;created from
o_formedpart_55;o_steelsheet_55;created from
o_steelsheet_201;o_steelcoil_4;created from
o_formedpart_57;o_steelsheet_57;created from
o_formedpart_61;o_steelsheet_61;created from
o_steelsheet_202;o_steelcoil_4;created from
o_formedpart_59;o_steelsheet_59;created from
o_steelsheet_203;o_steelcoil_4;created from
o_formedpart_58;o_steelsheet_58;created from
o_steelsheet_204;o_steelcoil_4;created from
o_formedpart_66;o_steelsheet_66;created from
o_formedpart_64;o_steelsheet_64;created from
o_steelsheet_205;o_steelcoil_4;created from
o_formedpart_62;o_steelsheet_62;created from
o_formedpart_56;o_steelsheet_56;created from
o_formedpart_60;o_steelsheet_60;created from
o_formedpart_65;o_steelsheet_65;created from
o_formedpart_72;o_steelsheet_72;created from
o_steelsheet_206;o_steelcoil_4;created from
o_formedpart_63;o_steelsheet_63;created from
o_steelsheet_207;o_steelcoil_4;created from
o_formedpart_70;o_steelsheet_70;created from
o_steelsheet_208;o_steelcoil_4;created from
o_formedpart_68;o_steelsheet_68;created from
o_formedpart_69;o_steelsheet_69;created from
o_formedpart_73;o_steelsheet_73;created from
o_steelsheet_209;o_steelcoil_4;created from
o_formedpart_67;o_steelsheet_67;created from
o_formedpart_71;o_steelsheet_71;created from
o_formedpart_78;o_steelsheet_78;created from
o_formedpart_74;o_steelsheet_74;created from
o_steelsheet_210;o_steelcoil_4;created from
o_formedpart_77;o_steelsheet_77;created from
o_formedpart_75;o_steelsheet_75;created from
o_formedpart_76;o_steelsheet_76;created from
o_steelsheet_211;o_steelcoil_4;created from
o_formedpart_80;o_steelsheet_80;created from
o_steelsheet_212;o_steelcoil_4;created from
o_formedpart_81;o_steelsheet_81;created from
o_formedpart_85;o_steelsheet_85;created from
o_steelsheet_213;o_steelcoil_4;created from
o_formedpart_82;o_steelsheet_82;created from
o_steelsheet_214;o_steelcoil_4;created from
o_formedpart_79;o_steelsheet_79;created from
o_formedpart_83;o_steelsheet_83;created from
o_formedpart_84;o_steelsheet_84;created from
o_steelsheet_215;o_steelcoil_4;created from
o_formedpart_86;o_steelsheet_86;created from
